# Library
URL: /foundations/iconography/library
Source: https://github.com/daangn/seed-design/blob/dev/docs/content/foundations/iconography/library.mdx



## Monochrome Icons

| Icon Name | React Component Name | Figma Name | Keywords | Services | Tags |
| icon_car_front_upside_wave2_reversed_up_line | IconCarFrontUpsideWave2ReversedUpLine | Weight=Line | aeb, car, front, sensor, up, 감지, 경보, 센서, 앞, 위, 전방, 중고차, 차 |  |  |
| icon_car_frontside_fill | IconCarFrontsideFill | Weight=Fill | automobile, car, cars, transportation, vehicle, vertical, 버티컬, 운송, 자동차, 중고차, 차, 차량 | 중고차 | service |
| icon_car_frontside_line | IconCarFrontsideLine | Weight=Line | automobile, car, cars, transportation, vehicle, vertical, 버티컬, 운송, 자동차, 중고차, 차, 차량 | 중고차 | service |
| icon_car_line | IconCarLine | Weight=Line | 차, 자동차, 옆, car, side |  |  |
| icon_car_rear_trunk_open_leftside_fill | IconCarRearTrunkOpenLeftsideFill | Weight=Fill | car, car_power_trunk, left, open, trunk, 열림, 왼쪽, 전동 트렁크, 중고차, 차, 트렁크 |  |  |
| icon_car_rear_trunk_open_leftside_line | IconCarRearTrunkOpenLeftsideLine | Weight=Line | car, car_power_trunk, left, open, trunk, 열림, 왼쪽, 전동 트렁크, 중고차, 차, 트렁크 |  |  |
| icon_car_rear_upside_sector_down_fill | IconCarRearUpsideSectorDownFill | Weight=Fill | car, car_rear_camera, down, rear, sensor, 뒤, 센서, 아래, 중고차, 차, 후면, 후방센서, 후방카메라 |  |  |
| icon_car_rear_upside_sector_down_line | IconCarRearUpsideSectorDownLine | Weight=Line | car, car_rear_camera, down, rear, sensor, 뒤, 센서, 아래, 중고차, 차, 후면, 후방센서, 후방카메라 |  |  |
| icon_car_rear_upside_wave2_reversed_down_fill | IconCarRearUpsideWave2ReversedDownFill | Weight=Fill | car, car_rear_sensor, down, rear, sensor, 뒤, 센서, 아래, 중고차, 차, 후방감지 |  |  |
| icon_car_rear_upside_wave2_reversed_down_left_fill | IconCarRearUpsideWave2ReversedDownLeftFill | Weight=Fill | car, car_blind_spot, down, left, rear, sensor, 뒤, 센서, 아래, 왼쪽, 중고차, 차, 측면, 후방감지 |  |  |
| icon_car_rear_upside_wave2_reversed_down_left_line | IconCarRearUpsideWave2ReversedDownLeftLine | Weight=Line | car, car_blind_spot, down, left, rear, sensor, 뒤, 센서, 아래, 왼쪽, 중고차, 차, 측면, 후방감지 |  |  |
| icon_car_rear_upside_wave2_reversed_down_line | IconCarRearUpsideWave2ReversedDownLine | Weight=Line | car, car_rear_sensor, down, rear, sensor, 뒤, 센서, 아래, 중고차, 차, 후방감지 |  |  |
| icon_card_fill | IconCardFill | Weight=Fill | card, credit card, method, pay, payment, 결제, 결제수단, 신용카드, 카드 |  |  |
| icon_card_line | IconCardLine | Weight=Line | card, credit card, method, pay, payment, 결제, 결제수단, 신용카드, 카드 |  |  |
| icon_carrot_fill | IconCarrotFill | Weight=Fill | 당근, carrot, karrot |  |  |
| icon_carrot_line | IconCarrotLine | Weight=Line | 당근, carrot, karrot |  |  |
| icon_cart_fill | IconCartFill | Weight=Fill | cart, shopping, shopping cart, 쇼핑, 쇼핑카트, 장바구니, 카트 |  |  |
